Issue key;Issue id;Priority;Status;Updated;Component/s;Component/s;Component/s;Component/s;Component/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Summary
MDEV-32551;125912;Critical;Closed;2024-07-07 21:20;Replication;;;;;10.6;;;;;;;;;;;;;;10.11.7;10.6.17;11.0.5;11.1.4;11.2.3;;;;;;"""Read semi-sync reply magic number error"" warnings on master"
MDEV-33668;128351;Critical;Closed;2024-07-07 21:13;Replication;XA;;;;10.11;10.6;11.0;11.1;11.2;11.3;11.4;11.5;;;;;;;10.11.8;10.6.18;11.0.6;11.1.5;11.2.4;11.3.2;11.4.2;;;;Adapt parallel slave's round-robin scheduling to XA events
MDEV-25607;99438;Critical;Closed;2024-07-06 04:19;Replication;Storage Engine - Memory;;;;10.2;10.3;10.4;10.5;10.6;10.7;10.8;10.9;;;;;;;10.11.9;10.5.26;10.6.19;11.1.6;11.2.5;11.4.3;;;;;Auto-generated DELETE from HEAP table can break replication
MDEV-33465;127931;Critical;Closed;2024-07-06 04:12;Replication;;;;;10.11;10.6;;;;;;;;;;;;;10.11.9;10.6.19;11.1.6;11.2.5;11.4.3;;;;;;an option to enable semisync recovery
MDEV-9312;54906;Critical;Closed;2024-07-02 13:04;Galera;Replication;;;;10.1.9;;;;;;;;;;;;;;10.1.18;;;;;;;;;;storage engine not enforced during galera cluster replication
MDEV-34150;129115;Critical;Closed;2024-06-28 16:38;Replication;;;;;N/A;;;;;;;;;;;;;;11.5.1;;;;;;;;;;Assertion failure in Diagnostics_area::set_error_status upon binary logging hitting tmp space limit
MDEV-32257;125318;Critical;Closed;2024-06-26 11:04;Replication;Storage Engine - InnoDB;;;;N/A;;;;;;;;;;;;;;10.6.16;;;;;;;;;;Assertion `thd->is_killed()' failed in XID_cache_element::acquired_to_recovered (opt) or acquire_xid (dbg) on XA ROLLBACK or XA COMMIT
MDEV-13258;62177;Critical;Closed;2024-06-26 11:04;Replication;Tests;;;;10.2;10.3;10.4;;;;;;;;;;;;10.2.33;10.3.24;10.4.14;10.5.5;;;;;;;"rpl.rpl_skip_replication, rpl.rpl_set_statement_default_master failed in buildbot"
MDEV-23857;92247;Critical;Closed;2024-06-19 13:56;Replication;;;;;10.2;10.3;10.4;10.5;;;;;;;;;;;10.11.9;10.5.26;10.6.19;11.1.6;11.2.5;11.4.3;;;;;replication master password length
MDEV-26272;101634;Critical;Closed;2024-05-24 09:38;Replication;;;;;10.2;10.3;10.4;10.5;10.6;;;;;;;;;;10.11.7;10.4.33;10.5.24;10.6.17;11.0.5;11.1.4;;;;;The macro MASTER_INFO_VAR invokes undefined behaviour
MDEV-33330;127450;Critical;Closed;2024-05-04 13:39;Partitioning;Replication;Versioned Tables;;;11.2;11.3;11.4;;;;;;;;;;;;11.2.4;11.4.2;;;;;;;;;Server crash or assertion failure in binlog_get_pending_rows_event
MDEV-27512;106775;Critical;Closed;2024-04-19 23:11;Replication;XA;;;;10.10;10.11;10.2;10.3;10.4;10.5;10.6;10.9;11.0;11.1;11.2;11.3;11.4;11.5;10.11.8;10.5.25;10.6.18;11.0.6;11.1.5;11.2.4;11.4.2;;;;Assertion `! thd->transaction_rollback_request' failed in rows_event_stmt_cleanup
MDEV-33799;128556;Critical;Closed;2024-04-10 12:58;Replication;;;;;10.11;10.5;10.6;11.0;11.1;11.2;;;;;;;;;10.11.8;10.6.18;11.0.6;11.1.5;11.2.4;11.4.2;;;;;mysql_manager_submit Segfault at Startup Still Possible During Recovery
MDEV-6188;36108;Critical;Closed;2024-03-07 10:47;Replication;;;;;10.0.10;5.5.38;;;;;;;;;;;;;10.0.13;5.5.39;;;;;;;;;master_retry_count (ignored if disconnect happens on SET master_heartbeat_period)
MDEV-15250;65793;Critical;Closed;2024-02-21 08:08;Data Definition - Alter Table;Locking;Replication;Storage Engine - InnoDB;;10.0;10.1;10.1.30;10.2;10.3;10.4;10.5;10.6;10.7;10.8;;;;;10.6.8;10.7.4;10.8.3;10.9.1;;;;;;;UPSERT during ALTER-TABLE results in 'Duplicate entry' error for alter
MDEV-33116;127066;Critical;Closed;2024-01-24 14:18;Replication;;;;;;;;;;;;;;;;;;;11.4.1;;;;;;;;;;int MYSQL_BIN_LOG::real_purge_logs_by_size(ulonglong): Assertion `reclaimed_space == found_space' failed
MDEV-33048;126961;Critical;Closed;2024-01-24 00:39;Binary Protocol;Replication;;;;N/A;;;;;;;;;;;;;;11.4.0;;;;;;;;;;"Assertion `info->end_of_file - (info->append_read_pos-info->write_buffer) == (res= inline_mysql_file_tell(""/test/bb-11.4-MDEV-7850_dbg/mysys/mf_iocache2.c"", 151, info->file, (myf) (0)))' failed."
MDEV-33049;126962;Critical;Closed;2024-01-12 09:33;Replication;;;;;11.4;;;;;;;;;;;;;;11.4.1;;;;;;;;;;"Assertion `marked_for_write_or_computed()' failed in bool Field_new_decimal::store_value(const my_decimal*, int*)"
MDEV-31136;121409;Critical;Closed;2024-01-01 19:51;Data Definition - Alter Table;Replication;;;;N/A;;;;;;;;;;;;;;11.2.1;;;;;;;;;;Online ALTER is allowed on master but fails on slave with ER_ALTER_OPERATION_NOT_SUPPORTED_REASON
MDEV-8031;51016;Critical;Closed;2023-12-19 12:08;Replication;;;;;10.0;10.1;;;;;;;;;;;;;10.0.18;10.1.5;;;;;;;;;"Parallel replication stops on ""connection killed"" error (probably incorrectly handled deadlock kill)"
MDEV-32953;126802;Critical;Closed;2023-12-12 13:47;Replication;Tests;;;;10.4;;;;;;;;;;;;;;10.11.7;10.4.33;10.5.24;10.6.17;11.0.5;11.1.4;11.2.3;;;;"main.rpl_mysqldump_slave Fails with ""Master binlog wasn't deleted"" Assertion"
MDEV-25450;98939;Critical;Closed;2023-12-11 22:58;Replication;Tests;;;;10.10;10.11;10.5;10.6;10.7;10.8;10.9;11.0;11.1;11.2;;;;;10.11.7;10.5.24;10.6.17;11.0.5;11.1.4;11.2.3;;;;;rpl.rpl_parallel_gco_wait_kill failed in bb with timeout
MDEV-28776;111743;Critical;Closed;2023-12-06 21:06;Replication;Tests;;;;10.2;10.3;10.5;10.6;10.7;10.8;10.9;;;;;;;;10.10.7;10.11.6;10.4.32;10.5.23;10.6.16;10.9.8;11.0.4;;;;rpl.rpl_mark_optimize_tbl_ddl fails with timeout on sync_with_master
MDEV-31177;121540;Critical;Closed;2023-11-01 13:12;Replication;Tests;;;;10.10;10.11;10.5;10.6;10.8;10.9;11.0;;;;;;;;10.10.7;10.11.6;10.4.32;10.5.23;10.6.16;11.0.4;11.1.3;;;;SHOW SLAVE STATUS Last_SQL_Errno Race Condition on Errored Slave Restart
MDEV-32184;125087;Critical;Closed;2023-10-18 06:27;Replication;;;;;11.3;;;;;;;;;;;;;;11.3.1;;;;;;;;;;rpl.rpl_gtid_until_before_after_gtids regularly times out
MDEV-32272;125375;Critical;Closed;2023-10-17 14:01;Locking;Replication;Storage Engine - InnoDB;XA;;10.10;10.11;10.5;10.6;10.9;11.0;11.1;11.2;11.3;;;;;;10.10.7;10.11.6;10.6.16;11.0.4;11.1.3;;;;;;lock_release_on_prepare_try() does not release lock if supremum bit is set along with other bits set in lock's bitmap
MDEV-26071;100974;Critical;Closed;2023-10-07 07:22;Replication;Tests;;;;10.10;10.11;10.6;10.7;10.8;10.9;11.0;;;;;;;;10.10.4;10.11.3;10.6.13;10.8.8;10.9.6;;;;;;rpl.rpl_perfschema_applier_status_by_worker  failed in bb with: Test assertion failed
MDEV-10356;57382;Critical;Closed;2023-09-14 09:19;Replication;Tests;;;;10.0;10.1;10.2;10.3;10.4;10.5;10.6;10.7;;;;;;;10.10.7;10.11.6;10.4.32;10.5.23;10.6.16;11.0.4;11.1.3;;;;rpl.rpl_parallel_temptable failure due to incorrect commit optimization of temptables
MDEV-31448;122654;Critical;Closed;2023-08-25 14:50;Replication;;;;;10.10;10.11;10.4;10.5;10.6;10.7;10.8;10.9;11.0;;;;;;10.4.31;;;;;;;;;;Killing a replica thread awaiting its GCO can hang/crash a parallel replica
MDEV-30985;120749;Critical;Closed;2023-08-16 11:36;Data Definition - Alter Table;Replication;Storage Engine - InnoDB;Storage Engine - MyISAM;;;;;;;;;;;;;;;;11.2.1;;;;;;;;;;Replica stops with error on ALTER ONLINE with Geometry Types
MDEV-30945;120587;Critical;Closed;2023-08-16 11:35;Replication;Tests;;;;;;;;;;;;;;;;;;11.2.1;;;;;;;;;;RPL tests are failing with MSAN use-of-uninitialized-value in bitmap_intersect
MDEV-31838;123907;Critical;Closed;2023-08-16 11:29;Data Definition - Alter Table;Replication;;;;N/A;;;;;;;;;;;;;;11.2.1;;;;;;;;;;Assertion fails in binlog_log_row_online_alter upon parallel replication with two-phase alter and MINIMAL binlog_row_image
MDEV-31804;123783;Critical;Closed;2023-08-16 11:29;Data Definition - Alter Table;Replication;;;;N/A;;;;;;;;;;;;;;11.2.1;;;;;;;;;;Assertion `thd->m_transaction_psi == __null' fails upon replicating online ALTER
MDEV-14767;64994;Critical;Closed;2023-07-19 16:16;Replication;Versioned Tables;;;;10.3.4;;;;;;;;;;;;;;10.3.5;;;;;;;;;;system_versioning_alter_history breaks ALTER replication
MDEV-30620;119107;Critical;Closed;2023-05-25 12:13;Replication;Tests;;;;10.10;10.11;10.4;10.5;10.6;10.7;10.8;10.9;11.0;;;;;;10.10.4;10.11.3;10.4.29;10.5.20;10.6.13;10.9.6;;;;;Parallel rpl tests failing in BB with mysqld got signal 6 on SHOW SLAVE STATUS
MDEV-17515;70392;Critical;Closed;2023-05-12 22:26;Replication;;;;;10.1;10.1.36;10.2;10.3;10.4;10.5;;;;;;;;;10.2.39;10.3.30;10.4.20;10.5.11;;;;;;;GTID Replication in optimistic mode deadlock
MDEV-28798;111836;Critical;Closed;2023-04-25 20:20;Replication;;;;;10.2;10.3;10.4;10.5;10.6;10.7;10.8;10.9;;;;;;;10.10.4;10.11.3;10.4.29;10.5.20;10.6.13;10.8.8;10.9.6;11.0.2;11.1.1;;Previously Binlog Encrypted Master Segfaults on Binlog Dump with Using_Gtid=Slave_Pos
MDEV-31018;120922;Critical;Closed;2023-04-21 16:57;Character Sets;Replication;;;;10.10;10.11;10.3;10.4;10.5.19;10.6.12;10.9.2;;;;;;;;10.10.1;10.11.3;10.9.6;11.0.2;11.1.1;;;;;;"Replica of 10.3, 10.4, <10.5.19 and <10.6.12 to 10.11 will not work when using non-default charset"
MDEV-30665;119450;Critical;Closed;2023-04-17 11:07;Data Manipulation - Insert;Replication;Server;;;10.6.12;;;;;;;;;;;;;;10.10.4;10.11.3;10.6.13;10.8.8;10.9.6;11.0.2;11.1.1;;;;MariaDB 10.6.12 hang 2 days after upgrade
MDEV-26525;102474;Critical;Closed;2022-10-28 11:41;Data Definition - Temporary;Replication;Storage Engine - InnoDB;;;10.6.4;10.6.5;10.6.7;10.6.8;10.6.9;;;;;;;;;;10.6.10;10.7.6;10.8.5;;;;;;;;Replication stops because too big innodb-temp-data-file
MDEV-29741;115337;Critical;Closed;2022-10-26 18:06;Replication;Variables;;;;N/A;;;;;;;;;;;;;;10.11.1;;;;;;;;;;SHOW BINLOG EVENTS shows garbage with system_versioning_insert_history=on
MDEV-29078;112644;Critical;Closed;2022-09-07 16:55;Replication;Variables;;;;10.5;10.6;10.7;10.8;10.9;;;;;;;;;;10.5.17;10.6.9;10.7.5;10.8.4;10.9.2;;;;;;"For old binary logs explicit_defaults_for_timestamp presumed to be OFF, server value ignored"
MDEV-29185;113245;Critical;Closed;2022-08-03 16:14;Replication;Virtual Columns;;;;N/A;;;;;;;;;;;;;;10.10.1;;;;;;;;;;RANDOM_BYTES as a virtual column function makes binlog non-deterministic
MDEV-24526;95615;Critical;Closed;2022-06-27 14:10;Replication;;;;;;;;;;;;;;;;;;;10.2.38;10.3.29;10.4.19;10.5.10;;;;;;;binlog rotate via FLUSH LOGS may obsolate binlog file for recovery too early
MDEV-27047;105059;Critical;Closed;2022-05-03 15:32;Query Cache;Replication;;;;10.5.13;10.6.5;;;;;;;;;;;;;10.5.14;10.6.6;;;;;;;;;replication does not remove affected queries from query cache
MDEV-28020;108615;Critical;Closed;2022-04-26 19:47;Replication;;;;;10.2;10.3;10.4;10.5;10.5.15;10.6;10.7;10.8;10.9;;;;;;10.2.44;10.3.35;10.4.25;10.5.16;10.6.8;10.7.4;;;;;CHECKSUM TABLE calculates different checksums
MDEV-25580;99379;Critical;Closed;2022-04-01 04:01;Replication;;;;;10.3;10.4;10.5;10.6;;;;;;;;;;;10.3.35;10.4.25;10.5.16;10.6.8;10.7.4;10.8.3;;;;;rpl.rpl_semi_sync_slave_compressed_protocol crashes because of wrong packet
MDEV-24667;96225;Critical;Closed;2022-03-29 14:30;Data Definition - Temporary;Replication;;;;10.0;10.1;10.2;10.3;10.3.27;10.4;10.5;10.5.8;10.6;10.7;;;;;10.2.44;10.3.35;10.4.25;10.5.16;10.6.8;10.7.4;10.8.3;;;;LOAD DATA INFILE/inserted rows not written to binlog
MDEV-27039;105046;Critical;Closed;2022-03-10 09:55;Replication;Storage Engine - Spider;;;;10.6;10.7;10.8;;;;;;;;;;;;10.6.6;10.7.2;;;;;;;;;"Trying to lock mutex ... when the mutex was already locked | SIGABRT in safe_mutex_lock | Hangs"
MDEV-27628;107187;Critical;Closed;2022-02-01 14:31;Replication;;;;;10.8;;;;;;;;;;;;;;10.8.1;;;;;;;;;;"Lag free ALTER statement breaks replication when executing binlog_alter_two_phase = 1,0 dynamically "
MDEV-11937;60026;Critical;Closed;2021-12-23 10:03;Replication;Storage Engine - InnoDB;;;;10.2.3;;;;;;;;;;;;;;10.2.8;;;;;;;;;;InnoDB flushes redo log too often
MDEV-25222;98149;Critical;Closed;2021-05-25 14:29;Replication;;;;;10.2;;;;;;;;;;;;;;10.5.11;10.6.1;;;;;;;;;mysqlbinlog --base64-output wrong option default drops BINLOG from output
MDEV-25336;98533;Critical;Closed;2021-05-18 09:53;Replication;;;;;10.2;10.3;;;;;;;;;;;;;10.2.39;10.3.30;10.4.20;10.5.11;;;;;;;Parallel replication causes failed assert while restarting
MDEV-24916;97067;Critical;Closed;2021-03-18 10:39;Galera;Locking;Replication;;;10.2;10.3;10.4;10.5;;;;;;;;;;;10.2.38;10.3.29;10.4.19;10.5.10;;;;;;;"Assertion `current_stmt_binlog_format == BINLOG_FORMAT_STMT || current_stmt_binlog_format == BINLOG_FORMAT_ROW' failed in THD::is_current_stmt_binlog_format_row"
MDEV-24668;96226;Critical;Closed;2021-03-11 18:14;Authentication and Privilege System;Replication;;;;10.4;10.5;10.6;;;;;;;;;;;;10.4.19;10.5.10;;;;;;;;;debug assert on SET PASSWORD when binlog fails
MDEV-22741;87554;Critical;Closed;2021-02-22 17:04;Replication;;;;;10.1;10.2;10.3;10.4;10.5;;;;;;;;;;10.2.38;10.3.28;10.4.18;10.5.9;;;;;;;*SAN: ERROR: AddressSanitizer: use-after-poison on address in instrings/strmake.c:36 from change_master (on optimized builds)
MDEV-22008;84418;Critical;Closed;2021-01-12 11:30;Replication;Tests;;;;10.3;10.4;10.5;10.5.1;;;;;;;;;;;10.2.37;10.3.28;10.4.18;10.5.9;;;;;;;rpl.rpl_semi_sync  fails with wrong value for Rpl_semi_sync_master_clients
MDEV-15395;66013;Critical;Closed;2020-12-15 12:30;Replication;Versioned Tables;;;;10.3;;;;;;;;;;;;;;10.3.5;;;;;;;;;;Wrong result or Assertion `old_part_id == m_last_part' failed in ha_partition::update_row on slave
MDEV-17438;70263;Critical;Closed;2020-12-08 16:38;Platform Windows;Replication;Tests;;;10.3;;;;;;;;;;;;;;10.1.48;10.2.35;10.3.26;10.4.16;10.5.7;;;;;;rpl.show_status_stop_slave_race-7126 fails with timeout on Windows
MDEV-23770;91883;Critical;Closed;2020-10-30 12:16;Replication;Storage Engine - S3;Tests;;;10.5;;;;;;;;;;;;;;10.5.7;;;;;;;;;;s3.replication_stmt and s3.replication_mixed fail with SQL thread failure
MDEV-22317;85799;Critical;Closed;2020-09-02 09:42;Replication;;;;;10.5.2;10.5.3;;;;;;;;;;;;;10.5.3;;;;;;;;;;SIGSEGV in my_free/delete_dynamic in optimized builds (ARIA)
MDEV-21804;83485;Critical;Closed;2020-06-13 06:30;Data types;Replication;Server;Virtual Columns;;10.4;10.5;;;;;;;;;;;;;10.4.14;10.5.4;;;;;;;;;Assertion `marked_for_read()' failed upon INSERT into table with long unique blob under binlog_row_image=NOBLOB
MDEV-8894;53471;Critical;Closed;2020-05-05 09:19;Replication;;;;;10.0.21;10.1;10.2;;;;;;;;;;;;10.4.1;;;;;;;;;;Inserting fractional seconds  into MySQL 5.6 master breaks consistency on MariaDB 10 slave
MDEV-21692;83079;Critical;Closed;2020-03-23 11:49;Replication;;;;;10.3;10.5;;;;;;;;;;;;;10.2.32;10.3.23;10.4.13;10.5.2;;;;;;;"UBSAN error:  load of value 2779096485, which is not a valid value for type enum_binlog_format"
MDEV-21856;83723;Critical;Closed;2020-03-09 17:56;Replication;Server;;;;10.1;10.2;10.3;10.4;10.5;;;;;;;;;;10.5.2;;;;;;;;;;XID_t::formatID has to be contrained to 4 byte size
MDEV-20188;77844;Critical;Closed;2020-03-06 11:05;Replication;Tests;;;;10.1;10.2;;;;;;;;;;;;;10.1.42;10.2.27;10.3.18;10.4.8;;;;;;;binlog.binlog_stm_drop_tmp_tbl fails in buildbot with Unknown table on exec
MDEV-21229;80946;Critical;Closed;2019-12-09 14:39;Galera;Replication;Server;;;10.4.10;;;;;;;;;;;;;;10.4.11;;;;;;;;;;"SIGABRT on most simple commands when ""wsrep_on=1"" AND eating up *all* available memory"
MDEV-12746;61267;Critical;Closed;2019-10-25 17:15;Replication;;;;;10.2;;;;;;;;;;;;;;10.2.14;;;;;;;;;;rpl.rpl_parallel_optimistic_nobinlog fails committing out of order at retry
MDEV-8329;51832;Critical;Closed;2019-10-04 15:25;Replication;;;;;10.0;10.1;5.5;;;;;;;;;;;;5.5.54;;;;;;;;;;MariaDB crashes when replicate_wild_ignore_table is set to NULL
MDEV-8432;52106;Critical;Closed;2019-08-23 22:44;Data Manipulation - Delete;Data Manipulation - Update;Replication;;;10.0.20;;;;;;;;;;;;;;5.5.45;;;;;;;;;;[PATCH] Slave cannot replicate signed integer-type values with high bit set to 1
MDEV-17455;70290;Critical;Closed;2019-07-19 08:22;Replication;;;;;5.5.61;;;;;;;;;;;;;;10.0.38;10.1.38;10.2.19;10.3.11;5.5.63;;;;;;Slave data corruption when master is MySQL 5.5 in STATEMENT
MDEV-19904;77138;Critical;Closed;2019-06-28 20:21;Replication;Tests;;;;10.1;10.2;;;;;;;;;;;;;10.1.41;10.2.26;;;;;;;;;rpl_semi_sync_uninstall_plugin fails with  --repeat
MDEV-18859;73037;Critical;Closed;2019-04-02 12:57;Replication;Versioned Tables;;;;10.4;;;;;;;;;;;;;;10.4.4;;;;;;;;;;Server crashes in bitmap_bits_set / pack_row / THD::binlog_write_row upon DELETE .. FOR PORTION with binary logging
MDEV-11926;60011;Critical;Closed;2018-10-16 14:59;Replication;;;;;10.1.20;;;;;;;;;;;;;;10.0.31;;;;;;;;;;Data loss on 10.1.20-MariaDB
MDEV-15782;66685;Critical;Closed;2018-05-18 15:39;Replication;Sequences;;;;10.3;;;;;;;;;;;;;;10.3.7;;;;;;;;;;Assertion `0' or unknown error on slave upon inserting into sequence
MDEV-14019;63510;Critical;Closed;2018-05-03 18:49;Replication;Storage Engine - Spider;;;;10.2;;;;;;;;;;;;;;10.2.14;10.3.6;;;;;;;;;Spider + binlog_format = ROW => CRASH
MDEV-15889;66876;Critical;Closed;2018-04-17 11:01;Replication;;;;;10.3;;;;;;;;;;;;;;10.3.7;;;;;;;;;;Semisync ack thread hits an LOCK_plugin assert at shutdown
MDEV-15405;66026;Critical;Closed;2018-02-25 14:31;Replication;Versioned Tables;;;;10.3;;;;;;;;;;;;;;10.3.5;;;;;;;;;;"Mixed replication fails with ""Could not execute Delete_rows_v1 event"" upon DELETE HISTORY"
MDEV-14797;65028;Critical;Closed;2017-12-29 10:00;Replication;;;;;10.2.11;;;;;;;;;;;;;;10.2.12;;;;;;;;;;MariDB 10.2.11 writing errors logs into log_bin_index file
MDEV-12290;60611;Critical;Closed;2017-09-21 10:00;Replication;;;;;10.0;10.1;10.2;10.2.4;;;;;;;;;;;10.2.6;;;;;;;;;;Wrong timestamps in binary log causes replication issues
MDEV-10974;58365;Critical;Closed;2017-04-21 00:34;Galera;Replication;wsrep;;;10.1.17;10.1.18;;;;;;;;;;;;;10.1.22;;;;;;;;;;WSREP and multi-master replication: slave threads hang waiting for WSREP ready state
MDEV-6403;39623;Critical;Closed;2017-02-20 00:48;Replication;;;;;10.0.12;;;;;;;;;;;;;;10.0.18;10.1.4;;;;;;;;;Temporary tables lost at STOP SLAVE in GTID mode if master has not rotated binlog since restart
MDEV-11811;59819;Critical;Closed;2017-01-17 15:28;Replication;;;;;10.0;10.1;10.2;;;;;;;;;;;;10.0.30;10.1.21;;;;;;;;;dual master with parallel replication  memory leak in write master
MDEV-10388;57428;Critical;Closed;2016-12-08 12:31;Replication;;;;;10.1;10.1.13;10.1.15;;;;;;;;;;;;10.0.29;10.1.20;5.5.54;;;;;;;;MariaDB 10.1.x keeps (deleted) ML* files in tmpdir after LOAD DATA completes
MDEV-7818;50603;Critical;Closed;2016-12-01 02:28;Replication;;;;;10.0;;;;;;;;;;;;;;10.0.23;10.1.9;;;;;;;;;Deadlock occurring with parallel replication and FTWRL
MDEV-9083;54049;Critical;Closed;2016-06-13 01:33;Replication;;;;;10.0.22-galera;10.1.8;;;;;;;;;;;;;10.0.26-galera;;;;;;;;;;Slave IO thread does not handle autoreconnect to restarting Galera Cluster node
MDEV-9915;56426;Critical;Closed;2016-05-28 21:52;Platform RedHat;Replication;;;;10.1.12;;;;;;;;;;;;;;10.1.13;;;;;;;;;;service stop with parallel replication failing
MDEV-9162;54252;Critical;Closed;2015-12-14 20:24;Galera;Replication;;;;10.0.22-galera;;;;;;;;;;;;;;10.0.23-galera;;;;;;;;;;MariaDB Galera Cluster memory leak on async slave node
MDEV-9033;53931;Critical;Closed;2015-11-23 22:23;Replication;;;;;10.1;;;;;;;;;;;;;;10.1.9;;;;;;;;;;Incorrect statements binlogged on slave with do_domain_ids=(...)
MDEV-8476;52249;Critical;Closed;2015-11-12 16:18;Replication;;;;;10.0;10.1;;;;;;;;;;;;;10.0.23;10.1.8;;;;;;;;;Race condition in slave SQL thread shutdown
MDEV-8428;52101;Critical;Closed;2015-07-27 03:10;Replication;;;;;10.0.19;;;;;;;;;;;;;;10.0.21;;;;;;;;;;Mangled DML statements on 2nd level slave when enabling binlog checksums
MDEV-7126;49009;Critical;Closed;2015-07-23 08:07;Replication;;;;;10.0.17;5.5.37;;;;;;;;;;;;;5.5.43;;;;;;;;;;replication slave - deadlock in terminate_slave_thread with stop slave and show variables of replication filters and show global status
MDEV-8016;50979;Critical;Closed;2015-04-20 18:02;Replication;;;;;10.0;10.1;;;;;;;;;;;;;10.0.18;10.1.5;;;;;;;;;Replication aborts on DROP /*!40005 TEMPORARY */ TABLE IF EXISTS
MDEV-7929;50783;Critical;Closed;2015-04-08 17:05;Replication;;;;;10.0.17;10.1.3;;;;;;;;;;;;;10.0.18;10.1.4;;;;;;;;;"record_gtid() for non-transactional event group calls wakeup_subsequent_commits() too early, causing slave hang"
MDEV-7847;50641;Critical;Closed;2015-03-30 19:50;Replication;;;;;10.0.16;10.1.3;;;;;;;;;;;;;10.0.18;10.1.4;;;;;;;;;"""Slave worker thread retried transaction 10 time(s) in vain, giving up"", followed by replication hanging"
MDEV-7578;50032;Critical;Closed;2015-03-05 13:15;Replication;Storage Engine - InnoDB;Storage Engine - XtraDB;;;10.0.16;5.5.42;;;;;;;;;;;;;10.0.18;5.5.43;;;;;;;;;Slave is ~10x slower to execute set of statements compared to master when using RBR
MDEV-6589;43302;Critical;Closed;2015-03-04 17:22;Replication;;;;;10.0.13;;;;;;;;;;;;;;10.0.18;10.1.4;;;;;;;;;Incorrect relay log start position when restarting SQL thread after error in parallel replication
MDEV-7568;50007;Critical;Closed;2015-03-02 16:06;Replication;;;;;10.0.16;;;;;;;;;;;;;;10.0.17;;;;;;;;;;STOP SLAVE crashes the server
MDEV-6391;39610;Critical;Closed;2015-02-27 16:38;Replication;;;;;10.0.13;;;;;;;;;;;;;;10.0.17;;;;;;;;;;GTID binlog state not recovered if mariadb-bin.state is removed
MDEV-7237;49200;Critical;Closed;2014-12-02 01:54;Replication;;;;;10.0.15;;;;;;;;;;;;;;10.0.16;;;;;;;;;;Parallel replication: incorrect relaylog position after stop/start the slave
MDEV-6903;46308;Critical;Closed;2014-11-25 16:04;Replication;;;;;10.0.14;;;;;;;;;;;;;;10.0.16;;;;;;;;;;[PATCH] gtid_slave_pos is incorrect after master crash
MDEV-6775;45410;Critical;Closed;2014-11-13 16:12;Replication;;;;;10.0.14;;;;;;;;;;;;;;10.0.15;;;;;;;;;;Wrong binlog order in parallel replication
MDEV-6321;38506;Critical;Closed;2014-10-01 14:04;Replication;;;;;10.0.11;;;;;;;;;;;;;;10.0.14;;;;;;;;;;close_temporary_tables() in format description event not serialised correctly
